StationID,Facility,URL,Phone,Office Div,Location 1,Address,Lat,Lon
689,"VA Connecticut Healthcare System, West Haven Campus ",http://www.connecticut.va.gov/,203-932-5711,Veterans Health Administration: VISN 1: VA New England Healthcare System,"950 Campbell Avenue
West Haven, CT 06516
(41.28437069000046, -72.95728015099962)","950 Campbell Avenue
West Haven, CT 06516
",41.28437069,-72.957280151
402,VA Maine Healthcare System - Togus ,http://www.maine.va.gov/,207-623-8411 Or 207-623-8411,Veterans Health Administration: VISN 1: VA New England Healthcare System,"1 VA Center
Augusta, ME 04330
(44.33609220000045, -69.75874732399967)","1 VA Center
Augusta, ME 04330
",44.3360922,-69.758747324
405,White River Junction VA Medical Center ,http://www.whiteriver.va.gov/,802-295-9363 Or 802-295-9363,Veterans Health Administration: VISN 1: VA New England Healthcare System,"163 Veterans Drive
White River Junction, VT 05009
(43.647890015000485, -72.34233602899963)","163 Veterans Drive
White River Junction, VT 05009
",43.647890015,-72.342336029
523BZ,Causeway OPC ,http://www.boston.va.gov/locations/Causeway_Street_Boston_CBOC.asp,617-248-1000 Or 617-248-1000,Veterans Health Administration: VISN 1: VA New England Healthcare System,"251 Causeway St
Boston, MA 02114
(42.3665493580005, -71.05917033399965)","251 Causeway St
Boston, MA 02114
",42.366549358,-71.059170334
402F,Fort Kent Access Point Clinic ,http://www.maine.va.gov/locations/fort_kent.asp,207-834-1572,Veterans Health Administration: VISN 1: VA New England Healthcare System,"3 Mountain View Drive
Fort Kent, ME 04743
(47.267942604000496, -68.59172645299964)","3 Mountain View Drive
Fort Kent, ME 04743
",47.267942604,-68.591726453
4730,Houlton Satellite Clinic ,http://www.maine.va.gov/locations/houlton.asp,877-421-8263 X 2000,Veterans Health Administration: VISN 1: VA New England Healthcare System,"20 Hartford Street
Houlton, ME 04730
(46.13220981000046, -67.84294219399965)","20 Hartford Street
Houlton, ME 04730
",46.13220981,-67.842942194
402MMU,Mobile Medical Unit ,http://www.maine.va.gov/locations/Mobile_Medical_Unit.asp,866-961-9263,Veterans Health Administration: VISN 1: VA New England Healthcare System,"241 Main Street
Bingham, ME 04920
(45.05312447500046, -69.88232562299964)","241 Main Street
Bingham, ME 04920
",45.053124475,-69.882325623
402HC,Portland Mental Health Clinic ,http://www.maine.va.gov/locations/portland.asp,207-771-3500 Or 877-421-8263 X 3500,Veterans Health Administration: VISN 1: VA New England Healthcare System,"509 Forest Ave
Portland, ME 04101
(43.667514923000454, -70.27906182199962)","509 Forest Ave
Portland, ME 04101
",43.667514923,-70.279061822
402GD,Aroostook County (Caribou) Community Based Outpatient Clinic ,http://www.maine.va.gov/locations/caribou.asp,207-493-3800,Veterans Health Administration: VISN 1: VA New England Healthcare System,"163 Van Buren Drive
Caribou, ME 04736
(46.8795994780005, -68.01106901999964)","163 Van Buren Drive
Caribou, ME 04736
",46.879599478,-68.01106902
402HB,Bangor Community Based Outpatient Clinic ,http://www.maine.va.gov/locations/bangor.asp,207-561-3600,Veterans Health Administration: VISN 1: VA New England Healthcare System,"35 State Hospital Drive
Bangor, ME 04401
(44.80235403400047, -68.76906874099967)","35 State Hospital Drive
Bangor, ME 04401
",44.802354034,-68.769068741
405GA,Bennington Outpatient Clinic ,http://www.whiteriver.va.gov/locations/bennington.asp,802-447-6913,Veterans Health Administration: VISN 1: VA New England Healthcare System,"186 North Street
Bennington, VT 05201
(42.881242460000465, -73.19702285499966)","186 North Street
Bennington, VT 05201
",42.88124246,-73.197022855
405GC,Brattleboro Community Based Outpatient Clinic ,http://www.whiteriver.va.gov/locations/brattleboro.asp,802-251-2200,Veterans Health Administration: VISN 1: VA New England Healthcare System,"71 GSP Drive
Brattleboro, VT 05301
(42.83027085900045, -72.56765211099963)","71 GSP Drive
Brattleboro, VT 05301
",42.830270859,-72.567652111
405HA,Burlington Outpatient Lakeside Clinic ,http://www.whiteriver.va.gov/locations/burlington.asp,802-657-7000,Veterans Health Administration: VISN 1: VA New England Healthcare System,"128 Lakeside Avenue
Burlington, VT 05041
(44.46127700800048, -73.21819121399966)","128 Lakeside Avenue
Burlington, VT 05041
",44.461277008,-73.218191214
402GB,Calais Outpatient Clinic ,http://www.maine.va.gov/locations/calais.asp,207-904-3700,Veterans Health Administration: VISN 1: VA New England Healthcare System,"50 Union St
Calais, ME 04619
(45.189442847000464, -67.28060193899967)","50 Union St
Calais, ME 04619
",45.189442847,-67.280601939
608GD,Conway Outpatient Clinic ,http://www.manchester.va.gov/locations/conway.asp,800-892-8384 X 3199,Veterans Health Administration: VISN 1: VA New England Healthcare System,"71 Hobbs Street
Conway, NH 03818
(43.974511995000455, -71.12938354599964)","71 Hobbs Street
Conway, NH 03818
",43.974511995,-71.129383546
689GE,Danbury Outpatient Clinic ,http://www.connecticut.va.gov/locations/Danbury_Community_Based_Outpatient_Clinic.asp,203-798-8422,Veterans Health Administration: VISN 1: VA New England Healthcare System,"7 Germantown Road
Danbury, CT 06810
(41.40895083000049, -73.43625963999966)","7 Germantown Road
Danbury, CT 06810
",41.40895083,-73.43625964
518GG,Fitchburg Outpatient Clinic ,http://www.centralwesternmass.va.gov/locations/fitchburg.asp,978-342-9781 Or 978-342-9781,Veterans Health Administration: VISN 1: VA New England Healthcare System,"275 Nichols Road
Fitchburg, MA 01420
(42.591072942000494, -71.80486732299966)","275 Nichols Road
Fitchburg, MA 01420
",42.591072942,-71.804867323
523GA,Framingham Outpatient Clinic ,http://www.boston.va.gov/locations/Framingham_CBOC.asp,508-628-0205,Veterans Health Administration: VISN 1: VA New England Healthcare System,"61 Lincoln Street
Framingham, MA 01702
(42.28264937400047, -71.41717063999965)","61 Lincoln Street
Framingham, MA 01702
",42.282649374,-71.41717064
518GE,Gloucester Community Based Outpatient Clinic (CBOC) ,http://www.bedford.va.gov/locations/Gloucester_Community_Based_Outpatient_Clinic.asp,978-282-0676 X 1782,Veterans Health Administration: VISN 1: VA New England Healthcare System,"298 Washington Street
Gloucester, MA 01930
(42.62535889300045, -70.67919024099967)","298 Washington Street
Gloucester, MA 01930
",42.625358893,-70.679190241
631GD,Greenfield Outpatient Clinic ,http://www.centralwesternmass.va.gov/locations/greenfield.asp,413-773-8428 Or 413-773-8428,Veterans Health Administration: VISN 1: VA New England Healthcare System,"143 Munson Street
Greenfield, MA 01301
(42.57624977000046, -72.62444108299962)","143 Munson Street
Greenfield, MA 01301
",42.57624977,-72.624441083
518GB,Haverhill Community Based Outpatient Clinic (CBOC) ,http://www.bedford.va.gov/locations/Haverhill_Community_Based_Outpatient_Clinic.asp,978-372-5207,Veterans Health Administration: VISN 1: VA New England Healthcare System,"108 Merrimack St
Haverhill, MA 01830
(42.774449253000455, -71.07919008799962)","108 Merrimack St
Haverhill, MA 01830
",42.774449253,-71.079190088
650GB,Hyannis Outpatient Clinic ,http://www.providence.va.gov/locations/Hyannis_Community_Based_Outpatient_Clinic_CBOC.asp,508-771-3190,Veterans Health Administration: VISN 1: VA New England Healthcare System,"233 Stevens St
Hyannis, MA 02601
(41.651322421000486, -70.29405214999963)","233 Stevens St
Hyannis, MA 02601
",41.651322421,-70.29405215
689HC,John J. McGuirk (New London) VA Outpatient Clinic ,http://www.connecticut.va.gov/locations/John_J_McGuirk_Outpatient_Clinic_New_London.asp,860-437-3611,Veterans Health Administration: VISN 1: VA New England Healthcare System,"Four New
London, CT 06320
(41.34951356400046, -72.10408570299967)","Four New
London, CT 06320
",41.349513564,-72.104085703
405K,Keene Outpatient Clinic ,http://www.whiteriver.va.gov/locations/keene.asp,603-358-4900,Veterans Health Administration: VISN 1: VA New England Healthcare System,"640 Marlboro Street
Keene, NH 03431
(42.91546519400049, -72.24912601199964)","640 Marlboro Street
Keene, NH 03431
",42.915465194,-72.249126012
402-al,Lewiston/ Auburn Community Based Outpatient Clinic ,http://www.maine.va.gov/locations/lewiston_auburn.asp,207-753-4601 Or 877-421-8263 X 4601,Veterans Health Administration: VISN 1: VA New England Healthcare System,"15 Challenger Drive
Lewiston, ME 04240
(44.07035901600045, -70.19058103099962)","15 Challenger Drive
Lewiston, ME 04240
",44.070359016,-70.190581031
402,Lincoln Community Based Outpatient Clinic ,http://www.maine.va.gov/locations/lincoln.asp,207-403-2000,Veterans Health Administration: VISN 1: VA New England Healthcare System,"99 River Road
Lincoln, ME 04457
(45.35666911600049, -68.53946063699965)","99 River Road
Lincoln, ME 04457
",45.356669116,-68.539460637
405HC,Littleton Community Based Outpatient Clinic ,http://www.whiteriver.va.gov/locations/littleton.asp,603-444-1323,Veterans Health Administration: VISN 1: VA New England Healthcare System,"685 Meadow St
Littleton, NH 03561
(44.30273112800046, -71.80418590699963)","685 Meadow St
Littleton, NH 03561
",44.302731128,-71.804185907
523BY,Lowell Outpatient Clinic ,http://www.boston.va.gov/locations/Lowell_CBOC.asp,978-671-9000,Veterans Health Administration: VISN 1: VA New England Healthcare System,"130 Marshall Road
Lowell, MA 01852
(42.621059998000476, -71.31473331599966)","130 Marshall Road
Lowell, MA 01852
",42.621059998,-71.314733316
518GA,Lynn Community Based Outpatient Clinic (CBOC) ,http://www.bedford.va.gov/locations/Lynn_Community_Based_Outpatient_Clinic.asp,781-595-9818,Veterans Health Administration: VISN 1: VA New England Healthcare System,"225 Boston Road
Lynn, MA 01904
(42.470229421000454, -70.95976062799963)","225 Boston Road
Lynn, MA 01904
",42.470229421,-70.959760628
650GD,Middletown Outpatient Clinic ,http://www.providence.va.gov/locations/Middletown_Community_Based_Outpatient_Clinic_CBOC.asp,401-847-6239,Veterans Health Administration: VISN 1: VA New England Healthcare System,"One Corporate Place
Middletown, RI 02842
(41.515471050000485, -71.28762875499967)","One Corporate Place
Middletown, RI 02842
",41.51547105,-71.287628755
650GA,New Bedford Outpatient Clinic ,http://www.providence.va.gov/locations/New_Bedford_Community_Based_Outpatient_Clinic_CBOC.asp,508-994-0217,Veterans Health Administration: VISN 1: VA New England Healthcare System,"174 Elm Street
New Bedford, MA 02740
(41.63592636700048, -70.92941532399965)","174 Elm Street
New Bedford, MA 02740
",41.635926367,-70.929415324
405_Newport,Newport Community Based Outpatient Clinic ,http://www.whiteriver.va.gov/locations/newport.asp,802-334-9700,Veterans Health Administration: VISN 1: VA New England Healthcare System,"1734 Crawford Farm Rd
Newport, VT 05855
(44.93217981200047, -72.18090109399964)","1734 Crawford Farm Rd
Newport, VT 05855
",44.932179812,-72.180901094
631GC,Pittsfield Outpatient Clinic ,http://www.centralwesternmass.va.gov/locations/pittsfield.asp,413-499-2672 Or 413-499-2672,Veterans Health Administration: VISN 1: VA New England Healthcare System,"73 Eagle Street
Pittsfield, MA 01201
(42.451337311000486, -73.25113628299965)","73 Eagle Street
Pittsfield, MA 01201
",42.451337311,-73.251136283
523GD,Plymouth Outreach Clinic ,http://www.boston.va.gov/locations/Plymouth_CBOC.asp,,Veterans Health Administration: VISN 1: VA New England Healthcare System,"116 Long Pond Road
Plymouth, MA 02360
(41.9239703720005, -70.65679102299964)","116 Long Pond Road
Plymouth, MA 02360
",41.923970372,-70.656791023
402-p,Portland Community Based Outpatient Clinic ,http://www.maine.va.gov/locations/portland.asp,207-771-3500,Veterans Health Administration: VISN 1: VA New England Healthcare System,"144 Fore Street
Portland, ME 04101
(43.66122232100048, -70.24772558599966)","144 Fore Street
Portland, ME 04101
",43.661222321,-70.247725586
608GA,Portsmouth Outpatient Clinic ,http://www.manchester.va.gov/locations/portsmouth.asp,603-624-4366 X 3199,Veterans Health Administration: VISN 1: VA New England Healthcare System,"302 Newmarket Street
Portsmouth, NH 03803
(43.0896875570005, -70.81802607199967)","302 Newmarket Street
Portsmouth, NH 03803
",43.089687557,-70.818026072
523GC,Quincy Outpatient Clinic ,http://www.boston.va.gov/locations/Quincy_CBOC.asp,617-376-2010,Veterans Health Administration: VISN 1: VA New England Healthcare System,,,#VALUE!,#VALUE!
402GC,Rumford Community Based Outpatient Clinic ,http://www.maine.va.gov/locations/rumford.asp,207-369-3200,Veterans Health Administration: VISN 1: VA New England Healthcare System,"431 Franklin St
Rumford, ME 04726
(44.55180609600046, -70.55740368999966)","431 Franklin St
Rumford, ME 04726
",44.551806096,-70.55740369
405HF,Rutland Community Based Outpatient Clinic ,http://www.whiteriver.va.gov/locations/rutland.asp,802-772-2300,Veterans Health Administration: VISN 1: VA New England Healthcare System,"232 West St
Rutland, VT 05701
(43.6070924170005, -72.98575777899964)","232 West St
Rutland, VT 05701
",43.607092417,-72.985757779
402GA,Saco Community Based Outpatient Clinic ,http://www.maine.va.gov/locations/saco.asp,207-294-3100 Or 877-421-8263 X 3100,Veterans Health Administration: VISN 1: VA New England Healthcare System,"655 Main Street
Saco, ME 04072
(43.51456132900046, -70.42944456099963)","655 Main Street
Saco, ME 04072
",43.514561329,-70.429444561
608GC,Somersworth Outpatient Clinic ,http://www.manchester.va.gov/locations/somersworth.asp,603-624-4366 X 3199,Veterans Health Administration: VISN 1: VA New England Healthcare System,"200 Route
Somersworth, NH 03878
(43.25188297700049, -70.87518779799967)","200 Route
Somersworth, NH 03878
",43.251882977,-70.875187798
631BY,Springfield Outpatient Clinic ,http://www.centralwesternmass.va.gov/locations/springfield.asp,413-731-6000 Or 413-731-6000,Veterans Health Administration: VISN 1: VA New England Healthcare System,"25 Bond Street
Springfield, MA 01104
(42.11077954300049, -72.59914041899964)","25 Bond Street
Springfield, MA 01104
",42.110779543,-72.599140419
689gb,Stamford Outpatient Clinic ,http://www.connecticut.va.gov/locations/Stamford_Outpatient_Clinic.asp,203-325-0649,Veterans Health Administration: VISN 1: VA New England Healthcare System,"1275 Summer St
Stamford, CT 06905
(41.06232011500049, -73.54203003999964)","1275 Summer St
Stamford, CT 06905
",41.062320115,-73.54203004
608HA,Tilton Outpatient Clinic ,http://www.manchester.va.gov/locations/tilton.asp,603-624-4366 X 3199,Veterans Health Administration: VISN 1: VA New England Healthcare System,"630 Main Street
Tilton, NH 03276
(43.44725886500049, -71.61998040399965)","630 Main Street
Tilton, NH 03276
",43.447258865,-71.619980404
689GA,Waterbury Outpatient Clinic ,http://www.connecticut.va.gov/locations/Waterbury_Outpatient_Clinic.asp,203-465-5292,Veterans Health Administration: VISN 1: VA New England Healthcare System,"95 Scovill Street
Waterbury, CT 06706
(41.55358032200047, -73.03739671599965)","95 Scovill Street
Waterbury, CT 06706
",41.553580322,-73.037396716
689GC,Willimantic Outpatient Clinic ,http://www.connecticut.va.gov/locations/Willimantic_Outpatient_Clinic.asp,860-450-7583,Veterans Health Administration: VISN 1: VA New England Healthcare System,"1320 Main Street
Willimantic, CT 06226
(41.71506822800046, -72.22859630199963)","1320 Main Street
Willimantic, CT 06226
",41.715068228,-72.228596302
689GD,Winsted Outpatient Clinic ,http://www.connecticut.va.gov/locations/Willimantic_Outpatient_Clinic.asp,860-738-6985,Veterans Health Administration: VISN 1: VA New England Healthcare System,"115 Spencer Street
Winsted, CT 06908
(41.93032564700047, -73.07573645099967)","115 Spencer Street
Winsted, CT 06908
",41.930325647,-73.075736451
631GE,Worcester Outpatient Clinic ,http://www.centralwesternmass.va.gov/locations/worcester.asp,508-856-0104 Or 508-856-0104,Veterans Health Administration: VISN 1: VA New England Healthcare System,"605 Lincoln Street
Worcester, MA 01605
(42.29760945600049, -71.76750020299966)","605 Lincoln Street
Worcester, MA 01605
",42.297609456,-71.767500203
0100V,1A RCS Northeast Regional Office ,http://www.va.gov/directory/guide/facility.asp?id=5546&r=1,603-623-4204 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"15 Dartmouth Drive
Auburn, NH 03032
(43.010569887000486, -71.38804848899963)","15 Dartmouth Drive
Auburn, NH 03032
",43.010569887,-71.388048489
121,Bangor Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=5433&r=1,207-947-3391 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"368 Harlow St In-Town Plaza
Bangor, ME 04401
(44.806225457000494, -68.77567601299967)","368 Harlow St In-Town Plaza
Bangor, ME 04401
",44.806225457,-68.775676013
134,Berlin Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=5646&r=1,603-752-2571 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"515 Main Street
Gorham, NH 03581
(44.421576906000496, -71.19449153799962)","515 Main Street
Gorham, NH 03581
",44.421576906,-71.194491538
0101V,Boston Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=626&r=1,617-424-0665 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"7 Drydock Ave
Boston, MA 02210-2303
(42.34459531400046, -71.03610510899966)","7 Drydock Ave
Boston, MA 02210-2303
",42.344595314,-71.036105109
104,Brockton Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=627&r=1,508-580-2730 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"1041L Pearl St
Brockton, MA 02301
(42.053138412000465, -71.06685678699967)","1041L Pearl St
Brockton, MA 02301
",42.053138412,-71.066856787
119,Caribou Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=5434&r=1,207-496-3900 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"456 York Street York Street
Caribou, ME 04736
(46.8445970840005, -68.04795448899966)","456 York Street York Street
Caribou, ME 04736
",46.844597084,-68.047954489
140,Danbury Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=5979&r=1,203-790-4000 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"457 Main St
Danbury, CT 06811
(41.405131035000466, -73.46228057699966)","457 Main St
Danbury, CT 06811
",41.405131035,-73.462280577
117,Hartford Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=653&r=1,860-563-8800 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"25 Elm Street
Rocky Hill, CT 06067
(41.66481168100046, -72.64049505999964)","25 Elm Street
Rocky Hill, CT 06067
",41.664811681,-72.64049506
136,Hyannis Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=5618&r=1,508-778-0124 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"474 Main Street
Hyannis, MA 02601
(41.65153048900049, -70.28654080399963)","474 Main Street
Hyannis, MA 02601
",41.651530489,-70.286540804
1221,Keene Vet Center Outstation ,http://www.va.gov/directory/guide/facility.asp?id=6245&r=1,603-358-4950 Or 603-358-4951,Veterans Health Administration: VISN 1: VA New England Healthcare System,"640 Marlboro Rd Route
Keene, NH 03431
(42.91527312000045, -72.22717745999967)","640 Marlboro Rd Route
Keene, NH 03431
",42.91527312,-72.22717746
129,Lewiston Vet Center ,http://www.va.gov/directory/guide/facility.asp?id=5435&r=1,207-783-0068 Or 877-927-8387,Veterans Health Administration: VISN 1: VA New England Healthcare System,"35 Westminster St
Lewiston, ME 04240
(44.07582142600046, -70.17467838999966)","35 Westminster St
Lewiston, ME 04240
",44.075821426,-70.17467839
